"VENDOR_PARTY_ID","ALTERNATIVE_VENDOR_PARTY_ID","MANUFACTURER_PARTY_ID","ITEM_ID","CATEGORY_ID","LAST_UPDATED","ITEM_CATEGORY","DESCRIPTION","PRICE","VENDOR","VENDOR_CATALOG_#","MANUFACTURER","MANUFACTURER_CATALOG_#","ALTERNATIVE_VENDOR_PRICE","ALTERNATIVE_VENDOR","ALTERNATIVE_VENDOR_PART_#","INTERMOUNTAIN_ITEM_#_MMIS","PURCHASE_UNIT","CONVERSION","GL_CODE","UNSPC","NOTES"
"","","","","","10/1/2012","Mobile Computer MC70","Cradle 4 slot ethernet w/power supply MC70 (Ethernet = EES)",495,"Extendata","CRD7000-410EES","Motorola","CRD7000-410EES","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Charger toaster style 4 slot  no power supply  MC70, MC75 (50-14000-148R power supply 23844-00-00R AC cord)",130,"Extendata","SAC7X00-4000CR","Motorola","SAC7X00-4000CR","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Charger cradle single slot serial/USB",112,"Extendata","CRD7X00-100RR","Motorola","CRD7X00-100RR","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Cradle kit serial/usb Single Slot Serial/USB (US).Kit includes: Single Slot Cradle CRD7X00-1000RR, P/S PWRS-14000-148R, and US AC Cord 23844-00-00R.",132,"Extendata","CRD7X00-100RES","Motorola","CRD7X00-100RES","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Cable RS232 serial",18,"Extendata","25-63852-01","Motorola","25-63852-01","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Cable USB",12.5,"Extendata","25-68596-01","Motorola","25-68596-01","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","QL 220 Direct Thermal Mobile Printer (2 Inch Print Width, 8M/16M, LCD, ZPR 802.11g, Linered Platen and Belt Clip",779,"ExtenData","Q2D-LUGC0000-00","","",875.43,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Zebra RW 420 Plus Mobile Printer (4 Inch Printhead, LCD, 8MB/16MB, Cable Ready, Standard Media and Group N)",545,"ExtenData","R4D-0U0A000N-00","","",610.29,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Lithium- Ion Battery for the QL 220/ QL 320/ QL 220 Plus/ QL 320 Plus",52,"ExtenData","AT16004-1","","",59.47,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Li-Ion Fast Chargers (for charging single battery outside printer) Li72:",64,"ExtenData","AT17696-2","","",72.01,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Quad Charger for the QL220, QL320, QL420 and RW (for Lithium-Ion Batteries)",302,"ExtenData","AC18177-5","","",344.47,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","USB A to MINI B Cable (for programming)",13.4,"ExtenData","17010-01","","","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","QL 220/ QL 220 Plus Soft Case",41,"ExtenData","DA16803-2","","",46.15,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Shoulder Strap QL",7.04,"ExtenData","BT11132-1","","",7.4,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Printhead Cleaning Pen- Case of 12",23.47,"ExtenData","AN112091","","","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","QL 220 Service Agreement Year One Enhancement: Includes; Advantage overnight, Module, Comprehensive, 20% Battery Coverage; Year 1 <30 days after purchase.",98,"ExtenData","ZAU-Q2P1-1C0","","","","","","","EA",1,"4228","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","QL 220 Service Agreement TWO YEAR Includes; Advantage, LAN Module, 20% Battery Coverage",92,"ExtenData","ZA0-Q2P1-1C0 ","","","","","","","EA",1,"4228","",""
"","","","","","9/28/2012","Charger for Zebra Mobile Printer","Charger: Single; Lithium Fast Charger (Model#LI72, US-Japan) for the QL and RW Series Printers",67.49,"Extendata","AT17696-2","","",72.01,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Charger for Zebra Mobile Printer","Quad Charger for the QL220, QL320, QL420 and RW (for Lithium-Ion Batteries)",325,"Extendata","AC18177-5","","",344.47,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Other Zebra Printers","LP2824 Plus Direct Thermal Desktop Printer (203 dpi , USB and Ethernet Interfaces)",298,"Extendata","282P-201510-000","","",294.41,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Other Zebra Printers","HC100 Direct Thermal Wristband Printer (300 dpi, ZPLII, XML, 16MB SDRAM, Power Cord with US Plug, Serial, USB and ZebraNet 10/100 Internal PrintServer) Toaster",471,"Extendata","HC100-3001-0100","","","","","","","EA",1,"4183","",""
"","","","","","9/28/2012","Other Zebra Printers","110Xi4 Bar Code Printer (203 dpi, Serial, Parallel, USB and Internal ZebraNet 10/100 PrintServer Interfaces, 120VAC Cord-NA, 16MB SDRAM, ZPL II, XML, Clear Media Side Door and Media Hanger",1927.65,"Extendata","112-801-00000","","",2198.45,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Other Printers","Printer Label Barcode with Ethernet Cognitive (Only approved to be ordered by LAB services) Replaced by DLXI-D1",579,"MCPC MIAMI COMPUTER PRODUCTS & CONS","LBD42-2043-016","","","","","","","EA",1,"4183","",""
"","","","","","9/28/2012","Other Printers","Printer Label Barcode with Ethernet Cognitive DLXI-D1 (Only approved to be ordered by LAB services)",549,"DIGI-TraX Corporation","DLXI-D1","Cognitive","DLXI-D1","","","","","EA",1,"4183","",""
"","","","","","9/28/2012","Printer Cables","MC90XX CABLE ADAPTER COMM CABLE TO HOST OR PRINTER (ALSO NEED RS232 OR USB PRINTER CABLE & PS)",49,"Extendata","ADP9000-100","","","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","Printer Cables","O''''NEIL PRINTER CABLE",33.84,"Extendata","25-62169-01","","",31.72,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Printer Cables","USB A to MINI B Cable (for programming)",13.4,"Extendata","17010-01","","","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","Printer Cables","Zebra printer cable",33.81,"Extendata","25-62170-02R","","",31.57,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Accessories","Soft Case RW220",48.46,"Extendata","DAK1806001RHD","","","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","Accessories","Shoulder Strap RW220",8,"Extendata","BT111321","","","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","Accessories","Battery- Spare Lithium-Ion Battery Dual Cell RW220",55.76,"Extendata","AT16004-1","","",59.47,"VLCM","","","EA",1,"4144","",""
"","","","","","9/28/2012","Accessories","Printhead Cleaning Pen- Case of 12",23.47,"Extendata","AN112091","","","","","","","EA",1,"4144","",""
"","","","","","9/28/2012","CONSUMABLES-Labels","Z-Select 4000D 3.2 mil Receipt (2 Inch x 81.25, 36 Rolls/Case, 3.2 Mil Topcoated Journal) for the QL220. A 3.2 mil direct thermal receipt paper which produces high-contrast black images with Zebra thermal printers. This material has resistance to image fading but is not recommended for applications involving long-term exposure to sunlight or extreme heat.",44,"Extendata","LD-R2KH5b ","","",41.55,"VLCM","","","EA",1,"4142","",""
"","","","","","9/28/2012","CONSUMABLES-Labels","PCMC custom 2x3 Zebra label",76.8,"Extendata","05100GS06407","","","","","","","","","","",""
"","","","","","9/28/2012","CONSUMABLES-Labels","Intermountain Homecare ribbons, 6 rpc RESIN RIBBON 3.50"""""""""""""""" X 1476'''' ",55.43,"Extendata","05095BK08945-C","","","","","","","","","","",""
"","","","","","10/28/2011","RepTrax badge printer - others complete deviation","Dymo LabelWriter 450 usb ",88.23,"VLCM","1752264","","","","","","","EA",1,"4183","",""
"","","","","","9/28/2012","EMMA Printers - Zebra","Zebra 105SL printer w/ethernet",1510,"ExtenData","10500-2001-0070","Zebra","",1697.99,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Pharmacy Printers - Zebra","Zebra ZM400 203 dpi, ZPL, Standard Flash, Power Cord with US Plug, Peel with Full Roll Rewind, Internal ZebraNet 10/100 PrintServer, USB And Serial Interface Options",1450,"ExtenData","ZM400-2001-5100T","Zebra","",1575.22,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Pharmacy Printers - Zebra","Zebra ZM400 203 dpi, ZPL, Standard Flash, Power Cord with US Plug, Internal ZebraNet 10/100 PrintServer, USB And Serial Interface Options",1150,"ExtenData","ZM400-2001-0100T","Zebra","",1262.28,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Pharmacy Printers - Zebra","Zebra GX420d Direct Thermal Desktop Printer, 4.09 inch Print Width, 203dpi, 6ips Print Speed, with RS232 Serial, USB,and Internal Ethernet Interface, Standard Flash, o RTC",459,"ExtenData","GX42-202411-000","Zebra","",465.08,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Zebra RW 420 Plus Mobile Printer (4 Inch Printhead, LCD, 8MB/16MB, Cable Ready, Standard Media and Group N)",545,"ExtenData","R4D-0U0A000N-00","","",610.29,"VLCM","","","EA",1,"4183","",""
"","","","","","9/28/2012","Mobile Printers - Zebra","Lithium- Ion Battery for the QL 220/ QL 320/ QL 220 Plus/ QL 320 Plus",52,"ExtenData","AT16004-1","","",59.47,"VLCM","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Stylus spring loaded  3 pack MC70",46,"Extendata","STYLUS-00002-03","Motorola","STYLUS-00002-03","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Battery 1950mAH 1X MC70",45,"Extendata","BTRY-MC7XEAB0E","Motorola","BTRY-MC7XEAB0E","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Battery 3800mAH 2X MC70",59,"Extendata","BTRY-MC70EAB02","Motorola","BTRY-MC70EAB02","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC70","Maintnance 3 yr service form the start MC70",312,"Extendata","SSB-MC70XX-30","Motorola","SSB-MC70XX-30","","","","","EA",1,"4228","",""
"","","","","","10/1/2012","Mobile Computer MC70","Maintnance 5 yr service form the start MC70",585,"Extendata","SSB-MC70XX-50","Motorola","SSB-MC70XX-50","","","","","EA",1,"4228","",""
"","","","","","10/1/2012","Mobile Computer MC75","MC75A0 wireless Mobile Computer CDMA-Verizon 802.11a/b/g, Imager, Camera, 256M/1G, Qwerty",1533,"Extendata","MC75A8-P4FSWQRA9WR","Motorola","MC75A8-P4FSWQRA9WR","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC75","MC75A8 wireless Mobile Computer CDMA-WAN 802.11a/b/g, Imager, Camera, 256M/1G, Qwerty",1310,"Extendata","MC75A0-P40SWQQA9WR","Motorola","MC75A0-P40SWQQA9WR","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC75","Battery for MC70/75",59,"Extendata","BTRY-MC7XEAB00","Motorola","BTRY-MC7XEAB00","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC75","Cradle kit serial/usb Single Slot Serial/USB (US).Kit includes: Single Slot Cradle CRD7X00-1000RR, P/S PWRS-14000-148R, and US AC Cord 23844-00-00R.",132,"Extendata","CRD7X00-100RES","Motorola","CRD7X00-100RES","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC75","Cable Auto Charge MC75",85,"Extendata","SYM-25-70979-02R","Motorola","SYM-25-70979-02R","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC75","Maintnance 3 yr service form the start MC75",265,"Extendata","SSB-MC75XX-30","Motorola","SSB-MC75XX-30","","","","","EA",1,"4228","",""
"","","","","","10/1/2012","Mobile Computer MC75","Maintnance 5 yr service form the start MC75",435,"Extendata","SSB-MC75XX-50","Motorola","SSB-MC75XX-50","","","","","EA",1,"4228","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","PDA-MC9090 Symbol gun, 802.11a/b/g SE1224,color,64/128M, 53 key, WM5.0, audio/voice/bluetooth",1710,"Extendata","MC9090-GF0HJEFA6WR","Motorola","MC9090-GF0HJEFA6WR","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Gun, 802.11a/b/g, 1D Scanner, VGA Color, 256MB/1GMB, 53 Key, CE6.0, BT, IST",1650,"Extendata","MC9190-GA0SWEYA6WR","Motorola","MC9190-GA0SWEYA6WR","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Cradle 4 slot ethernet MC90 (ethernet = EES)",535,"Extendata","CRD9000-410EES","Motorola","CRD9000-410EES","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Cradle 4 slot charging kit MC90 (ethernet = EES)",290,"Extendata","CRD9000-410EES","Motorola","CRD9000-410EES","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Cradle single slot charger kit MC90",240,"Extendata","KIT-CRD9000-USB1ES","Motorola","KIT-CRD9000-USB1ES","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Charger 4 slot for spare battery MC90",330,"Extendata","SAC9000-400R","Motorola","SAC9000-400R","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Cable RS232 serial",18,"Extendata","25-63852-01","Motorola","25-63852-01","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Cable USB",12.5,"Extendata","25-68596-01","Motorola","25-68596-01","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Stylus teathered gray 3/pack MC90",236,"Extendata","11-43912-50","Motorola","11-43912-50","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Stylus teathered gray 50/pack MC90",15,"Extendata","11-43912-03","Motorola","11-43912-03","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Stylus 10/pack  MC9090G only",26,"Extendata","KT-68144-10","Motorola","KT-68144-10","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Battery 1500mAH MC9000-s",62,"Extendata","BTRY-MC90SAB00-01","Motorola","BTRY-MC90SAB00-01","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Battery 1500mAH MC9000-s 10/pack",432,"Extendata","BTRY-MC90SAB00-10","Motorola","BTRY-MC90SAB00-10","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Battery MC9090G & MC9090K",65,"Extendata","KT-21-61261-01","Motorola","KT-21-61261-01","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Battery 2200mAH for MC90G&K 10/pack",460,"Extendata","BTRY-MC90GKAB0E-10","Motorola","BTRY-MC90GKAB0E-10","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Screen guard 3 pack MC90",29,"Extendata","KT-151827-03R","Motorola","KT-151827-03R","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Maintnance 3 yr service form the start MC9090G",295,"Extendata","SSB-MC9090G-30","Motorola","SSB-MC9090G-30","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC90x0 series gun, brick, short style","Maintnance 5 yr service form the start MC9090G",495,"Extendata","SSB-MC9090G-50","Motorola","SSB-MC9090G-50","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC9190 series gun, brick, short style","Computer Mobile Gun MC9190 802.11a/b/g, 1D Scanner, VGA Color, 256MB/1GMB, 53 Key, CE6.0, BT, IST",1725,"Extendata","SYM-MC9190-GJ0SWEYA6WR","Symbol Technologies","SYM-MC9190-GJ0SWEYA6WR","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC9190 series gun, brick, short style","Cradle Terminal Charging Single  slot (US). Incl: Single Slot Cradle CRD9000-1001SR, P/S PWRS-14000-148R, and US AC Cord 23844-00-00R.",188.5,"Extendata","SYM-CRD9000-110SES","Symbol Technologies","SYM-CRD9000-110SES","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC9190 series gun, brick, short style","MC9190 Cradle Terminal Charging ONLY 4 slot/PS/US cord",275,"Extendata","SYM-CRD9000-410CES*","Symbol Technologies","SYM-CRD9000-410CES*","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC9190 series gun, brick, short style","Charger Battery 4 slot for MC90X0",273,"Extendata","SYM-SAC9000-400CES","Symbol Technologies","SYM-SAC9000-400CES","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC9190 series gun, brick, short style","Battery Pack Rechargeable  for MC9090G 10PK",389,"Extendata","SYM-BTRY-MC90GKAB0E-10","Symbol Technologies","SYM-BTRY-MC90GKAB0E-10","","","","","PK",10,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC9190 series gun, brick, short style","Battery Spare for the MC9090G",55,"Extendata","SYM-KT-21-61261-01*","Symbol Technologies","SYM-KT-21-61261-01*","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC9190 series gun, brick, short style","Case for MC9090G Terminal with D ring and shoulder strap",67,"Extendata","TM-C9090-KT*","Symbol Technologies","TM-C9090-KT*","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC9190 series gun, brick, short style","Stylus for MC9190 Gun 10PK",22,"Extendata","SYM-KT-68144-10R*","Symbol Technologies","SYM-KT-68144-10R*","","","","","PK",10,"4189","",""
"","","","","","10/1/2012","Mobile Computer MC9500","Computer Mobile MC9500-K Brick (802.11a/b/g, LAN, 2D Imager, Integrated GPS, 3MP Auto focus color Camera, Color VGA display,256MB/1G, Alpha Numeric ide, WM 6.5, Audio/Voice/BT)",1620,"Extendata","SYM-MC9590-KD0DAB00100","Symbol Technologies","SYM-MC9590-KD0DAB00100","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC9500","Cradle Single Bay for MC9500-K",110,"Extendata","SYM-CRD9500-100UES","Symbol Technologies","SYM-CRD9500-100UES","","","","","EA",1,"4144","","Incl: Single Bay Cradle CRD9500-1000UR, P/S KT-14000-148R, and US AC Cord 23844-00-00R."
"","","","","","10/1/2012","Mobile Computer MC9500","Charger 4-slot for MC9500-K Desk Mount Charge Only",308,"Extendata","SYM-CRD9500-400CES","Symbol Technologies","SYM-CRD9500-400CES","","","","","EA",1,"4144","","INCLUDES 4-SLOT CHARGER, DESK MOUNT BRACKET KT-116363-01R, GUIDE CUPS KT-122014-01R, POWER SUPPLY PWRS-14000-241R, DC LINE CORD 50-16002-029R, ND AC LINE CORD 23844-00-00R (REPLACES CRD9500-400CR)"
"","","","","","10/1/2012","Mobile Computer MC9500","Charger 4-slot for MC9500-K Ethernet Desk Mount additional accessories required",379,"Extendata","SYM-CRD9501-400ER","Symbol Technologies","SYM-CRD9501-400ER","","","","","EA",1,"4144","","Incl: 4B Ethernet Cradle CRD9500-4000ER, Desk Mount KT-116363-01R, Optional Guide Cups KT-122014-01R, P/S PWRS-14000-241R, DC Cord 50-16002-029R, and US AC Cord 23844-00-00R."
"","","","","","10/1/2012","Mobile Computer MC9500","Cable Micro USB Activesync MC95XX",7.4,"Extendata","SYM-25-124330-01R","Symbol Technologies","SYM-25-124330-01R","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC9500","Battery MC9500 Intelligent 4800mAh",57,"Extendata","SYM-BTRY-MC95IABA0","Symbol Technologies","SYM-BTRY-MC95IABA0","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC9500","Charger 4 slot spare battery desk mount ",179,"Extendata","SYM-SAC9500-400CES","Symbol Technologies","SYM-SAC9500-400CES","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer MC9500","Maintenance 3 year service from the start MC9500-K",199,"Extendata","SYM-SSB-MC95XX-30","Symbol Technologies","SYM-SSB-MC95XX-30","","","","","EA",1,"4228","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","Computer Mobile WT4090 Wearable Terminal w/ Touchscreen, 2 Color Keypad, 128/128 Memory, Hi-Capacity Battery, English OS, Wrist Mount and Scanners not included.",1816,"Extendata","SYM-WT4090-T2H1GER","Symbol Technologies","SYM-WT4090-T2H1GER","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","Scanner BarcodeRS507 Hands-Free Imager, a 2-finger mounted barcode imager with manual trigger and standard capacity battery for cordless Bluetooth interface",633,"Extendata","SYM-RS507-IM20000STWR","Symbol Technologies","SYM-RS507-IM20000STWR","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","Cradle single slot charger kit Includes Cradle, Power Supply, US AC line cord and USB Communication Cable)",172,"Extendata","SYM-CRD4000-110UES","Symbol Technologies","SYM-CRD4000-110UES","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","Battery Extended Capacity (4600mAh) Li-Ion for the WT4090",72,"Extendata","SYM-BTRY-WT40IAB0H","Symbol Technologies","SYM-BTRY-WT40IAB0H","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","Battery HC (970mAh, 3.7V) for the RS507",49,"Extendata","SYM-KTBTRYRS50EAB00-01","Symbol Technologies","SYM-KTBTRYRS50EAB00-01","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","Charger 8-battery for the RS507 with external power supply and a US AC cord for charging both the standard and the extended capacity batteries",387.5,"Extendata","SYM-SAC5070-800CR","Symbol Technologies","SYM-SAC5070-800CR","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","Charger 4 Bank battery includes (charger , power supply and US AC line cord)",247.5,"Extendata","SYM-SAC4000-410CES*","Symbol Technologies","SYM-SAC4000-410CES*","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","Cradle Kit 4-slot Ethernet WT4090",459,"Extendata","SYM-CRD4000-410EES","Symbol Technologies","SYM-CRD4000-410EES","","","","","EA",1,"4144","","(Includes: Cradle-CRD4000-4000ER, Power Supply-50-14000-241R, Power Cable-50-16002-029R and US AC Line Cord-23844-00-00R)"
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","Mount Wrist with Regular Straps for WT4090 8""""""""""""""""-11""""""""""""""""",43,"Extendata","SYM-SG-WT4023020-05R","Symbol Technologies","SYM-SG-WT4023020-05R","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","Mount Wrist with Long Straps for WT4090 13"""""""""""""""" - 18""""""""""""""""",43,"Extendata","SYM-SG-WT4023020-06R","Symbol Technologies","SYM-SG-WT4023020-06R","","","","","","","","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","Pad Replacement for the WT4090 Wrist Mount",8,"Extendata","SYM-SG-WT4023021-02R","Symbol Technologies","SYM-SG-WT4023021-02R","","","","","EA",1,"4189","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","Sleeve Arm to Wear Under WT4090 Wrist Mount",18,"Extendata","SYM-SG-WT4027050-01R","Symbol Technologies","SYM-SG-WT4027050-01R","","","","","PK",5,"4189","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","KIT FINGER CLAMP TRIGGER RS507 1 PER PKG",68,"Extendata","SYM-KT-CLMPT-RS507-01R","Symbol Technologies","SYM-KT-CLMPT-RS507-01R","","","","","PK",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","KIT TRIGGER STRAP RS507 SET OF 10",35,"Extendata","SYM-KT-STRPT-RS507-10R","Symbol Technologies","SYM-KT-STRPT-RS507-10R","","","","","ST",10,"4189","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","Pad Replacement for the RS507 Set of 10",45,"Extendata","SYM-KT-PAD-RS507-10R","Symbol Technologies","SYM-KT-PAD-RS507-10R","","","","","ST",10,"4189","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","Headset RCH51 WT4090",169,"Extendata","SYM-RCH51","Symbol Technologies","SYM-RCH51","","","","","EA",1,"4144","",""
"","","","","","10/1/2012","Mobile Computer Wearable WT4090 and Accessories","Adapter Cable Headset Coiled for WT4090",34,"Extendata","SYM-25-114186-02R*","Symbol Technologies","SYM-25-114186-02R*","","","","","EA",1,"4144","",""
"","","","","","11/9/2012","Cash Drawer (Must order all parts in this category):","Series 4000 Cash Drawer (Painted Front w/Dual Media Slots, USB HID End Node Interface, 18x16"""""""""""""""", Coin Roll Storage Till) - Color: Black",285,"Extendata","APG-JB554-BL1816-C","APG","APG-JB554-BL1816-C","","","","","EA",1,"4144","","If not in stock lead time 2-3 weeks"
"","","","","","11/9/2012","Cash Drawer (Must order all parts in this category):","APG,fixed till, 5x5 coin roll storage, indvd''''''''s packed ",30.5,"Extendata","APG-PK-15TA-03-BX","APG","APG-PK-15TA-03-BX","","","","","EA",1,"4144","","If not in stock lead time 2-3 weeks"
"","","","","","11/9/2012","Cash Drawer (Must order all parts in this category):","Under counter mounting brackets for 4000 series",36,"Extendata","APG-PK-27-D-BX","APG","APG-PK-27-D-BX","","","","","EA",1,"4144","","If not in stock, lead time is 2-3 weeks"
"","","","","","11/9/2012","Scale (Must order all parts in this category):","AVERY BERKEL, 6720 POS I/F SCALE, 30LB, INT DISP, RS232",475,"Extendata","9504-16474 ","Avery Berkel","9504-16474 ","","","","","EA",1,"4144","","If not in stock lead time 2-3 weeks"
"","","","","","11/9/2012","Scale (Must order all parts in this category):","9M - 9F SERIAL CBL FOR SCALES",12,"Extendata","1140-13842","Avery Berkel","1140-13842","","","","","EA",1,"4144","","If not in stock lead time 2-3 weeks"
"","","","","","11/9/2012","Check Reader (Must order all parts in this category):","Scanner Check RDM EC6000-712 Series w/franking",375,"Extendata","TASQ-EC6011F  ","RDM","TASQ-EC6011F  ","","","","","EA",1,"4144","","If not in stock lead time 2-3 weeks"
"","","","","","11/9/2012","Check Reader (Must order all parts in this category):","USB  Cable for Check reader",49,"Extendata","TASQ-CBL-5000-40091","RDM","TASQ-CBL-5000-40091","","","","","EA",1,"4144","","if not in stock lead time 2-3 weeks"
"","","","","","11/9/2012","Check Reader (Must order all parts in this category):","Ink roller for the EC6000 series",45,"Extendata","TASQ-MIS-6000-6050","RDM","TASQ-MIS-6000-6050","","","","","EA",1,"4189","","Must be ordered in quantities of 2"
"","","","","","11/9/2012","Check Reader (Must order all parts in this category):","Serial cable instead of USB for check reader (Must order Power Supply)",49,"Extendata","TASQ-CBL-5000-40012","RDM","TASQ-CBL-5000-40012","","","","","EA",1,"4144","","if not in stock lead time 2-3 weeks"
